,id,integralizacao,media_programacao,media_matematica,media_NE,media_NC,reprovacoes_programacao,reprovacoes_matematica,reprovacoes_NE,reprovacoes_NC,quantidade_trancamentos
74,15,5,8.9,,,8.9,0.0,,,0.0,0
75,16,0,3.78,0.5,1.7,3.033333333333333,4.0,2.0,1.0,5.0,1
76,17,0,7.766666666666667,5.3,,7.15,0.0,1.0,,1.0,0
77,17,1,9.7,3.45,,6.720000000000001,0.0,1.0,,1.0,0
78,17,2,6.824999999999999,,,6.824999999999999,0.0,,,0.0,0
79,17,3,6.82,,5.7,7.1,1.0,,1.0,0.0,0
80,17,4,5.96,4.55,6.1571428571428575,5.12,5.0,1.0,3.0,3.0,0
81,17,5,6.516666666666666,,6.174999999999999,7.2,2.0,,2.0,0.0,0
82,17,6,6.916666666666667,,6.6,8.5,2.0,,2.0,0.0,0
83,17,7,5.459999999999999,6.6,4.525,8.6,2.0,0.0,2.0,0.0,0
84,17,8,9.4,,9.3,9.5,0.0,,0.0,0.0,0
85,18,0,7.566666666666666,5.4,,7.025,0.0,1.0,,1.0,0
86,18,1,6.1,6.550000000000001,,6.640000000000001,1.0,1.0,,2.0,0
87,18,2,7.324999999999999,7.5,,7.359999999999999,0.0,0.0,,0.0,0
88,18,3,6.62,,5.5,6.9,2.0,,1.0,1.0,0
89,18,4,6.8999999999999995,,7.06,6.1,1.0,,1.0,0.0,0
90,18,5,6.8,,7.0,5.8,2.0,,1.0,1.0,0
91,18,6,8.05,,7.766666666666666,8.9,1.0,,1.0,0.0,0
92,18,7,8.049999999999999,,8.4,8.025,0.0,,0.0,0.0,0
93,19,0,8.233333333333333,5.7,,7.6,0.0,1.0,,1.0,0
94,19,1,8.65,7.45,,7.9799999999999995,0.0,0.0,,0.0,0
95,19,3,7.222222222222224,8.8,6.7,7.455555555555557,1.0,0.0,0.0,1.0,0
96,19,5,7.239999999999999,,7.475,6.3,0.0,,0.0,0.0,0
97,19,6,7.216666666666666,,7.280000000000001,6.9,0.0,,0.0,0.0,0
98,19,7,8.440000000000001,,8.1,9.8,0.0,,0.0,0.0,0
99,19,9,7.816666666666667,,8.366666666666667,7.699999999999999,0.0,,0.0,0.0,0
100,20,0,7.433333333333334,4.3,,6.65,0.0,1.0,,1.0,0
101,20,1,7.766666666666667,5.6,,6.9799999999999995,1.0,1.0,,2.0,0
102,20,2,5.012,3.6,4.85,4.8687499999999995,20.0,3.0,11.0,12.0,0
103,20,3,5.61,5.3,5.357142857142856,6.4799999999999995,6.0,1.0,4.0,3.0,0
104,20,4,6.816666666666667,,8.066666666666666,5.566666666666666,2.0,,0.0,2.0,0
105,21,0,6.2,4.4,6.7,5.266666666666667,5.0,1.0,2.0,4.0,0
106,21,1,6.075,4.3,6.35,5.825,5.0,1.0,1.0,5.0,0
107,21,2,7.06,6.1,7.475,5.75,2.0,0.0,1.0,1.0,0
108,21,3,6.82,,6.333333333333333,7.55,1.0,,1.0,0.0,0
109,21,4,6.300000000000001,,7.4,5.42,4.0,,1.0,3.0,0
110,21,5,4.4399999999999995,,4.333333333333333,4.6,2.0,,1.0,1.0,0
111,22,0,7.933333333333334,6.5,,7.575,0.0,0.0,,0.0,0
112,22,1,8.35,7.4,,7.9,0.0,1.0,,1.0,0
113,22,3,8.16,9.6,7.4,8.6,0.0,0.0,0.0,0.0,0
114,22,4,8.066666666666666,,7.0,8.6,0.0,,0.0,0.0,0
115,22,6,7.616666666666666,,7.779999999999999,6.8,2.0,,2.0,0.0,0
116,22,7,9.1,,8.65,10.0,0.0,,0.0,0.0,0
117,22,8,7.425,,8.6,7.525,0.0,,0.0,0.0,0
118,22,9,8.7,,8.7,,0.0,,0.0,,0
119,23,0,5.04,5.6000000000000005,,5.500000000000001,4.0,2.0,,6.0,2
120,23,1,3.4166666666666674,8.2,4.08,3.4899999999999998,20.0,0.0,4.0,16.0,2
121,23,2,7.3,,7.35,7.266666666666667,1.0,,0.0,1.0,2
122,23,3,4.092307692307693,,1.775,5.122222222222223,8.0,,3.0,5.0,2
123,23,4,5.700000000000001,,5.4,6.9,1.0,,1.0,0.0,2
124,23,6,7.6428571428571415,,7.8166666666666655,6.6,0.0,,0.0,0.0,2
125,23,7,7.733333333333333,,8.05,7.1,0.0,,0.0,0.0,2
126,24,0,4.923076923076923,2.8000000000000003,5.733333333333333,4.246153846153846,10.0,3.0,2.0,11.0,0
127,24,1,4.612500000000001,6.0,5.7,4.542857142857143,4.0,1.0,1.0,4.0,0
128,24,2,6.733333333333334,,6.720000000000001,6.8,2.0,,2.0,0.0,0
129,24,3,6.942857142857142,,6.5,7.9,3.0,,2.0,1.0,0
130,24,4,5.6000000000000005,,5.6000000000000005,,2.0,,2.0,,0
131,24,5,6.640000000000001,,7.95,5.766666666666667,2.0,,0.0,2.0,0
132,24,6,7.733333333333333,6.5,6.3,7.8,0.0,0.0,0.0,0.0,0
133,25,0,4.1850000000000005,5.65,3.38,4.795,18.0,3.0,5.0,16.0,0
134,25,1,4.85,,4.166666666666667,5.142857142857143,6.0,,2.0,4.0,0
135,25,2,4.4399999999999995,,4.6,5.033333333333333,8.0,,4.0,4.0,0
136,25,3,6.328571428571428,,6.780000000000001,5.2,2.0,,1.0,1.0,0
137,25,4,5.7,,6.05,5.0,3.0,,1.0,2.0,0
138,25,5,5.65,,5.0,6.300000000000001,4.0,,2.0,2.0,0
139,26,0,7.133333333333333,3.8,,6.3,0.0,1.0,,1.0,1
140,26,1,2.066666666666667,4.65,,3.1444444444444444,6.0,1.0,,7.0,1
141,27,0,7.075,,6.866666666666667,7.7,1.0,,1.0,0.0,0
142,27,1,5.866666666666667,,5.24,9.0,3.0,,3.0,0.0,0
143,28,0,7.12,,6.8,7.2,1.0,,0.0,1.0,0
144,28,1,6.114285714285714,7.0,5.9,6.333333333333333,4.0,0.0,1.0,3.0,0
145,28,3,6.318181818181818,,6.6875,6.0,3.0,,1.0,2.0,0
146,28,4,6.24,,6.3999999999999995,5.866666666666667,6.0,,4.0,2.0,0
147,29,0,6.65,,7.0,6.3,0.0,,0.0,0.0,0
148,29,1,8.059999999999999,,7.0,8.325,0.0,,0.0,0.0,0
149,29,2,6.140000000000001,,6.050000000000001,6.5,1.0,,1.0,0.0,0
150,29,3,7.959999999999999,,8.6,7.666666666666667,0.0,,0.0,0.0,0
151,29,5,7.58,,7.525,7.8,0.0,,0.0,0.0,0
152,29,6,7.8999999999999995,,8.475,6.75,1.0,,0.0,1.0,0
153,30,0,7.5,6.1,,7.15,0.0,0.0,,0.0,0
154,30,2,8.3,6.8,,7.6,0.0,0.0,,0.0,0
155,30,3,7.875,9.4,,8.18,0.0,0.0,,0.0,0
156,30,4,7.42,,6.0,7.775,0.0,,0.0,0.0,0
157,30,5,7.233333333333333,,7.4,6.4,1.0,,1.0,0.0,0
158,30,6,7.24,,7.300000000000001,7.0,0.0,,0.0,0.0,0
159,30,7,7.279999999999999,,7.1,8.0,2.0,,2.0,0.0,0
160,30,9,7.566666666666666,,8.066666666666668,7.425,0.0,,0.0,0.0,0
161,31,0,3.5294117647058822,2.3200000000000003,1.3,3.6263157894736846,14.0,5.0,4.0,16.0,3
162,31,1,2.8055555555555554,2.3000000000000003,1.54,3.4999999999999996,15.0,3.0,10.0,9.0,3
163,32,0,3.821428571428572,4.08,6.6,3.8210526315789477,11.0,4.0,0.0,16.0,1
164,32,1,5.1,,5.666666666666667,4.76,4.0,,2.0,2.0,1
165,32,2,4.26,,4.0,6.9,4.0,,3.0,1.0,1
166,33,0,6.16,2.05,,4.475,2.0,2.0,,5.0,0
167,33,1,4.908333333333333,5.5,5.3,4.8,7.0,1.0,3.0,5.0,0
168,33,2,5.528571428571428,1.6,5.26,4.95,4.0,1.0,3.0,3.0,0
169,33,3,9.0,7.55,,8.379999999999999,0.0,0.0,,0.0,0
170,33,4,7.866666666666667,8.3,8.55,7.4,0.0,0.0,0.0,0.0,0
171,33,5,7.359999999999999,,7.425,7.1,0.0,,0.0,0.0,0
172,33,6,8.32,,7.9,10.0,1.0,,1.0,0.0,0
